"","Q22_2","Q22_4","Q22_11","Q22_13","Q22_22","Q22_23","Q22_25","Q22_8","Q22_9","Q22_16","Q22_18","Q22_19","Q22_20","Q22_26","Q22_27","DLoC_SUM","Age","group","raw","percentile","n","m","md","sd","normValue"
"94",2.85350461809449,2.68082672389021,2.65766799812702,3.30080093740107,2.80886617568767,2.4903481637446,2.94332249419767,2.71157997227304,2.45716726288718,2.14536874228611,2.41784691666773,2.1164875725373,2.49669290861366,2.10917892167307,1.95581501307125,38.1454744211521,21,21,38.1454744211521,0.642857142857143,7,38.056391763829,38.0433044184778,0.860160054497278,53.6610635680057
"307",3.0994406261931,2.9459302930779,2.9553319869491,3.6794955227607,3.29258237676424,2.84814815753794,3.29393308851757,2.41279947259851,2.10259207308413,1.79244650923391,2.03638888270047,1.64502245654454,2.08078209115516,1.677611334454,1.53158987409821,37.3940947456695,21,21,37.3940947456695,0.214285714285714,7,38.056391763829,38.0433044184778,0.860160054497278,42.0836139225663
"313",2.88694614363083,2.71687458791511,2.69814331510237,3.35229451389963,2.87464022730258,2.53900056613923,2.99099730698295,2.67095283602376,2.40895335815633,2.0973796008822,2.36597757601045,2.05237938098837,2.44013879793093,2.05049585773208,1.89813034978097,38.0433044184778,21,21,38.0433044184778,0.5,7,38.056391763829,38.0433044184778,0.860160054497278,50
"385",2.38484029124833,2.17563601693179,2.09042900768318,2.57914718567921,1.8870795308006,1.80851188229418,2.27518658582681,3.28094662515691,3.1328582441719,2.81790979091586,3.14476679347424,3.01492811780956,3.28926722418143,2.93158932963395,2.76423339281622,39.5773300186242,21,21,39.5773300186242,0.928571428571429,7,38.056391763829,38.0433044184778,0.860160054497278,64.6523379268552
"492",3.02321002735718,2.86375849567028,2.86306772562671,3.56211492753566,3.14264916462591,2.73724407317378,3.18525743841713,2.50540980886758,2.21249659361375,1.90183867744904,2.15462603953208,1.7911583087129,2.20969827110912,1.81138050419141,1.66308317040397,37.6269932262865,21,21,37.6269932262865,0.357142857142857,7,38.056391763829,38.0433044184778,0.860160054497278,46.3389364319943
"606",3.2359740594222,3.09310475826631,3.12058264160822,3.88973099126392,3.56112147419905,3.04678381865825,3.48857749434934,2.24692897759514,1.90574668888866,1.59651877781291,1.82461926257436,1.38328465152805,1.84988571992529,1.43802297645401,1.29607773769377,36.9769600302395,21,21,36.9769600302395,0.0714285714285714,7,38.056391763829,38.0433044184778,0.860160054497278,35.3476620731448
"14",2.48289678554359,2.28133475873329,2.20910982814333,2.73013550063175,2.07994073594943,1.95116936999388,2.41497760710744,3.16182064361246,2.99148650952855,2.67719710227989,2.99267667124783,2.82695151034091,3.12344052391595,2.75952016017261,2.59509171144463,39.2777494186455,22,22,39.2777494186455,0.785714285714286,7,38.1902345287527,38.3878283657305,1.12322149740359,57.9163860774337
"382",2.96739651747969,2.80359503773742,2.79551490117965,3.47617275849773,3.03287305182559,2.65604379005075,3.10568874076883,2.57321601788396,2.2929650293316,1.98193198583741,2.24119535449854,1.89815412080157,2.30408641173906,1.90932184258379,1.75935818994019,37.7975137501558,22,22,37.7975137501558,0.214285714285714,7,38.1902345287527,38.3878283657305,1.12322149740359,42.0836139225663
"494",2.76700303814393,2.58758345397393,2.55297244936796,3.16760498856222,2.6387316111548,2.36450134282273,2.82000435713204,2.81666822461998,2.58187984306754,2.26949993801755,2.55201483651854,2.28231313724517,2.64297869696502,2.26097157065733,2.10502514728309,38.4097526355318,22,22,38.4097526355318,0.642857142857143,7,38.1902345287527,38.3878283657305,1.12322149740359,53.6610635680057
"527",2.92095618704845,2.75353527850671,2.73930672692631,3.40466349959502,2.94153246129306,2.58848007675589,3.03948260861765,2.62963502394399,2.3599197998204,2.04857462693006,2.31322643803141,1.98718132728013,2.38262324716234,1.99081516073926,1.83946502660661,37.9393974892573,22,22,37.9393974892573,0.357142857142857,7,38.1902345287527,38.3878283657305,1.12322149740359,46.3389364319943
"548",2.42662631599992,2.22067872698249,2.14100393122015,2.64348970078901,1.96926585767155,1.86930427911462,2.33475745991591,3.23018199963007,3.07261376117831,2.75794615533554,3.0799547516253,2.93482332486487,3.2186014447084,2.85826336967819,2.69215495950985,39.4496660382242,22,22,39.4496660382242,0.928571428571429,7,38.1902345287527,38.3878283657305,1.12322149740359,64.6523379268552
"732",3.53292053626322,3.41319440872816,3.47998618501989,4.34697197761117,4.14516698592021,3.47879639132744,3.91190948843736,1.88617734381413,1.47762778836135,1.17039567971946,1.36404165084106,0.814031266349253,1.34770934941654,0.91694240946319,0.783862542451072,36.0697340037235,22,22,36.0697340037235,0.0714285714285714,7,38.1902345287527,38.3878283657305,1.12322149740359,35.3476620731448
"801",2.77417912710581,2.59531882713588,2.56165789271174,3.17865479804288,2.6528458131298,2.37494147562749,2.83023471272442,2.80795020295932,2.57153380579803,2.25920213185005,2.54088439324536,2.26855640580537,2.63084296682381,2.24837899658535,2.0926468161852,38.3878283657305,22,22,38.3878283657305,0.5,7,38.1902345287527,38.3878283657305,1.12322149740359,50
"11",2.5229809433242,2.32454296308563,2.25762492922916,2.79185746492472,2.15877976678064,2.00948580570411,2.47212227043237,3.11312356674553,2.93369567213536,2.61967567390785,2.93050430316542,2.75010923643553,3.0556528300416,2.68918063001258,2.5259488984968,39.1552849544215,23,23,39.1552849544215,0.625,12,38.6622049566979,38.8005096623847,1.458154057137,53.1863936396438
"131",2.85417936379326,2.68155405737187,2.65848466380232,3.30183991719338,2.81019329093452,2.49132981750363,2.94428442324697,2.71076024335824,2.45619445664357,2.14440047106552,2.4168003551265,2.11519406915164,2.49555182302266,2.10799488044441,1.95465111645424,38.1434129491127,23,23,38.1434129491127,0.375,12,38.6622049566979,38.8005096623847,1.458154057137,46.8136063603562
"154",3.23586494561495,3.09298714043566,3.12045057777847,3.88956297679416,3.56090686505443,3.04662507443913,3.48842193983292,2.24706153678443,1.90590400236714,1.59667535792825,1.82478850309638,1.38349382526471,1.8500702460267,1.4382144489549,1.2962659525892,36.9772933929614,23,23,36.9772933929614,0.125,12,38.6622049566979,38.8005096623847,1.458154057137,38.4965061962399
"204",2.63910335379465,2.44971562778161,2.39817148912294,2.97066384803246,2.38717369610757,2.17842649099382,2.63766837189052,2.97204982934526,2.76627762688337,2.45303809721675,2.75039311595026,2.52749984245099,2.85927423937727,2.48540945841294,2.32564457502433,38.8005096623847,23,23,38.8005096623847,0.5,12,38.6622049566979,38.8005096623847,1.458154057137,50
"206",2.10209838883697,1.87085800549836,1.74821770186592,2.14377853704061,1.33097211091945,1.39716483429566,1.87210487684892,3.62444153480642,3.54049787566737,3.2236490901259,3.5833124584537,3.55695099948103,3.76742175173858,3.42774376254023,3.25194653320301,40.4411584613221,23,23,40.4411584613221,0.875,12,38.6622049566979,38.8005096623847,1.458154057137,61.5034938037601
"227",3.53936820302725,3.42014458851392,3.48778999635445,4.35690015571985,4.15784849968884,3.48817677912013,3.92110139284204,1.87834426108507,1.46833194476237,1.16114317143517,1.35404102382228,0.801670937407236,1.33680547903473,0.905628067939729,0.77274069677191,36.050035197525,23,23,36.050035197525,0.0416666666666667,12,38.6622049566979,38.8005096623847,1.458154057137,32.6833560387775
"291",3.16248156170054,3.01388446187637,3.0316323891037,3.77656654996507,3.4165736624313,2.93986326061567,3.38380532819336,2.3362128744973,2.01170358609222,1.70198172571159,1.93860949893295,1.52417149941511,1.97417140318411,1.56698733659652,1.4228479707332,37.201493109049,23,23,37.201493109049,0.208333333333333,12,38.6622049566979,38.8005096623847,1.458154057137,41.8778219850009
"443",2.14302242980595,1.91497155117366,1.79774933965952,2.20679376139024,1.41146305563007,1.45670317403657,1.9304468920627,3.57472410829396,3.48149614710283,3.16492241550858,3.51983739300594,3.47849864973567,3.69821370260131,3.3559304085024,3.18135497118806,40.3161279996974,23,23,40.3161279996974,0.791666666666667,12,38.6622049566979,38.8005096623847,1.458154057137,58.1221780149991
"445",2.38408470626982,2.17482154378417,2.08951449971691,2.57798372880132,1.88559341781445,1.8074126195115,2.27410941091279,3.28186456336031,3.1339475994446,2.81899406783789,3.14593874044787,3.01637659199718,3.29054501985073,2.93291522732838,2.76553673243288,39.5796384695108,23,23,39.5796384695108,0.708333333333333,12,38.6622049566979,38.8005096623847,1.458154057137,55.485222826981
"552",2.93611912089652,2.76987996879245,2.75765889668932,3.42801152817703,2.97135549052278,2.61053987059687,3.06109914736368,2.61121401684265,2.33805882798175,2.0268155664547,2.28970803184282,1.95811362621129,2.35698068973215,1.96420730113152,1.81330985815987,37.8930719413954,23,23,37.8930719413954,0.291666666666667,12,38.6622049566979,38.8005096623847,1.458154057137,44.514777173019
"697",2.63910335379465,2.44971562778161,2.39817148912294,2.97066384803246,2.38717369610757,2.17842649099382,2.63766837189052,2.97204982934526,2.76627762688337,2.45303809721675,2.75039311595026,2.52749984245099,2.85927423937727,2.48540945841294,2.32564457502433,38.8005096623847,23,23,38.8005096623847,0.5,12,38.6622049566979,38.8005096623847,1.458154057137,50
"704",2.05406028861012,1.81907595078587,1.69007569720581,2.06980901713372,1.23648896659131,1.32727660566296,1.80362093665346,3.68280162489717,3.60975621094491,3.29258455726111,3.65782175625734,3.64904116826365,3.84866063045735,3.51204084115743,3.3348094287273,40.5879236806095,23,23,40.5879236806095,0.958333333333333,12,38.6622049566979,38.8005096623847,1.458154057137,67.3166439612225
"25",2.50528370326284,2.30546644988486,2.23620540994634,2.76460708772757,2.12397216866516,1.98373897654693,2.44689278125058,3.13462342871887,2.95921044852887,2.64507150565125,2.95795353458397,2.78403526216389,3.08558123962093,2.72023568068518,2.55647559600041,39.2093532732377,24,24,39.2093532732377,0.833333333333333,9,37.5508347887198,37.3616768308949,1.61073594172126,59.674215661017
